ID_Pelicula,titulo,año,genero,director,popularidad
3,18 anni tra una settimana,1991,Drama,Luigi Perelli,1.4
17,Ride a Wild Pony,1976,Romantic,Don Chaffey,3.062
18,Diner,1982,Comedy,Barry Levinson,10.664
20,A che servono questi quattrini?,1942,Comedy,Esodo Pratelli,0.628
22,A ciascuno il suo,1967,Drama,Elio Petri,5.421
23,Dead-Bang,1989,Crime,John Frankenheimer,6.754
24,A... come assassino,1966,Thriller,Ray Morrison (Angelo Dorigo),1.463
26,At Close Range,1986,Drama,James Foley,9.082
30,A Ghentar si muore facile,1968,Adventure,Leon Klimovsky,1.091
32,Sleeping with the Enemy,1990,Drama,Joseph Ruben,12.892
33,Love Kills,1991,Thriller,Brian Grant,1.87
34,In Bed With Madonna,1990,Documentary,Alek Keshishian,11.567
35,Make Mine Mink,1960,Comedy,Robert Asher,3.807
36,Bowery at Midnight,1942,Horror,Wallace Fox,4.602
37,A mezzanotte va la ronda del piacere,1975,Comedy,Marcello Fondato,5.554
38,Mr. Majestyk,1974,Action,Richard Fleischer,8.772
39,Crazy People,1990,Comedy,Tony Bill,9.783
41,Rouge baiser,1985,Drama,Vera Belmont,2.979
42,Eldorádó,1988,Drama,Géza Beremenyi,4.159
43,"À pied, à cheval, en voiture",1957,Comedy,Maurice Delbez,1.91
45,Warning Sign,1985,Action,Hal Barwood,7.878
46,Prague,1992,Drama,Ian Sellar,9.007
47,About Last Night,1986,Comedy,Edward Zwick,10.997
49,Fail-Safe,1964,Drama,Sidney Lumet,12.004
51,Some Like It Hot,1959,Comedy,Billy Wilder,21.227
53,A qualsiasi prezzo,1968,Adventure,Emilio Miraglia,1.682
54,Johnny O'Clock,1947,Thriller,Robert Rossen,4.984
55,Back to School,1986,Comedy,Alan Metter,15.544
56,Ninja Academy,1988,Comedy,Nico Mastorakis,3.586
57,Maid To Order,1987,Comedy,Amy Jones,7.324
58,Driving Miss Daisy,1989,Comedy,Bruce Beresford,16.793
59,Enid Is Sleeping,1989,Comedy,Maurice Phillips,1.876
60,South of Reno,1987,Drama,Mark Rezyka,2.327
61,The Appaloosa,1966,Western,Sidney J. Furie,5.84
62,Table for Five,1983,Drama,Robert Lieberman,4.526
63,...a tutte le auto della polizia...,1975,Crime,Mario Caiano,1.544
65,Gas,1981,Comedy,Les Rose,6.944
67,You'll Like My Mother,1973,Thriller,Lamont Johnson,3.506
68,Abbasso la miseria!,1945,Comedy,Gennaro Righelli,1.576
69,Abbasso la ricchezza!,1946,Comedy,Gennaro Righelli,0.717
70,Can You Feel Me Dancing?,1986,Drama,Michael Miller,1.702
71,Charlie Muffin,1979,Spy,Jack Gold,1.694
72,Final Embrace,1992,Thriller,Oley Sassone,1.4
73,Abbronzatissimi,1991,Comedy,Bruno Gaburro,4.539
74,The Deep,1977,Adventure,Peter Yates,10.442
75,Strangers: the Story of a Mother and Daughter,1979,Drama,Milton Katselas,1.4
76,L'abito nero da sposa,1945,History,Luigi Zampa,0.6
77,Abe Lincoln in Illinois,1940,Biography,John Cromwell,5.169
78,Absolute Beginners,1986,Musical,Julien Temple,8.213
79,The Abyss,1989,Fantasy,James Cameron,17.977
80,"Acapulco, prima spiaggia... a sinistra",1983,Comedy,Sergio Martino,2.468
83,Accadde al penitenziario,1955,Comedy,Giorgio Bianchi,2.198
85,Es geschah am 20. Juli,1955,War,Georg Wilhelm Pabst,2.323
86,It Happened in Athens,1962,Comedy,Andrew Marton,1.536
87,Made in Heaven,1987,Romantic,Alan Rudolph,5.104
88,September Affair,1950,Comedy,William Dieterle,3.591
89,It Happened One Night,1934,Comedy,Frank Capra,16.782
90,All's Fair,1989,Comedy,Rocky Lane,0.989
91,Mortuary Academy,1988,Comedy,Michael Schroeder,2.718
92,Accattone,1961,Drama,Pier Paolo Pasolini,8.688
93,Gridlock,1980,Comedy,James Frawley,8.96
95,Achtung! Banditi!,1951,War,Carlo Lizzani,3.742
97,Water,1985,Grotesque,Dick Clement,16.631
100,Acque di primavera,1942,Drama,Nunzio Malasomma,3.855
101,Action Jackson,1988,Crime,Craig R. Baxley,13.23
102,Shi no Toge,1990,Drama,Koei Oguri,3.07
